domain,availability,registrar,expiry,link_count,years_seen,genre,memo,sample_anchor,sample_source_url,whois_excerpt
wni.co.jp,unknown,,,3,2002,,,http://www.wni.co.jp/cww/,http://www.eiseihoso.org:80/bsdchlu/main.html,[ JPRS database provides information on network administration. Its use is    ]
bs-j.co.jp,unknown,,,2,2002,,,http://www.bs-j.co.jp/,http://www.eiseihoso.org:80/bsdchlu/main.html,[ JPRS database provides information on network administration. Its use is    ]
catv-kobe.co.jp,unknown,,,2,2002,,,http://www.catv-kobe.co.jp,http://www.eiseihoso.org:80/guide/main003-02.html,[ JPRS database provides information on network administration. Its use is    ]
daiwa.co.jp,unknown,,,2,2002,,,http://www.daiwa.co.jp/daiwa766/,http://www.eiseihoso.org:80/cgi-bin/cs/009hobby/top.cgi,[ JPRS database provides information on network administration. Its use is    ]
manzox.ch,unknown,,,2,2002,,,http://www.manzox.ch,http://www.eiseihoso.org:80/cgi-bin/cs/014adult/top.cgi?start=10&key=,Requests of this client are not permitted. Please use https://www.nic.ch/whois/ for queries.
sado.co.jp,unknown,,,2,2002,,,http://www.sado.co.jp/st-net/,http://www.eiseihoso.org:80/guide/main003-02.html,[ JPRS database provides information on network administration. Its use is    ]
soumu.go.jp,unknown,,,2,2002,,,http://www.soumu.go.jp/joho_tsusin/joho_tsusin.html,http://www.eiseihoso.org:80/aboutus/main005.html,[ JPRS database provides information on network administration. Its use is    ]
toei.co.jp,unknown,,,2,2002,,,http://www.toei.co.jp/cs/,http://www.eiseihoso.org:80/cgi-bin/cs/002cinema/top.cgi,[ JPRS database provides information on network administration. Its use is    ]
toppan.co.jp,unknown,,,2,2002,,,http://www.toppan.co.jp/multimedia/cs/,http://www.eiseihoso.org:80/cgi-bin/cs/008news/top.cgi,[ JPRS database provides information on network administration. Its use is    ]
toshin.ac.jp,unknown,,,2,2002,,,http://www.toshin.ac.jp,http://www.eiseihoso.org:80/cgi-bin/cs/010learn/top.cgi,[ JPRS database provides information on network administration. Its use is    ]
accs.or.jp,unknown,,,1,2002,,,http://www.accs.or.jp,http://www.eiseihoso.org:80/guide/main003-02.html,[ JPRS database provides information on network administration. Its use is    ]
adachi.ne.jp,unknown,,,1,2002,,,http://www.adachi.ne.jp,http://www.eiseihoso.org:80/guide/main003-02.html,[ JPRS database provides information on network administration. Its use is    ]
amigo.ne.jp,unknown,,,1,2002,,,http://www.amigo.ne.jp,http://www.eiseihoso.org:80/guide/main003-02.html,[ JPRS database provides information on network administration. Its use is    ]
avis.ne.jp,unknown,,,1,2002,,,http://www.avis.ne.jp/~scv-tv,http://www.eiseihoso.org:80/guide/main003-02.html,[ JPRS database provides information on network administration. Its use is    ]
ayu.ne.jp,unknown,,,1,2002,,,http://www.ayu.ne.jp/,http://www.eiseihoso.org:80/guide/main003-02.html,[ JPRS database provides information on network administration. Its use is    ]
banban.co.jp,unknown,,,1,2002,,,http://www.banban.co.jp/ banbantv.htm/,http://www.eiseihoso.org:80/guide/main003-02.html,[ JPRS database provides information on network administration. Its use is    ]
baynet.ne.jp,unknown,,,1,2002,,,http://www.baynet.ne.jp/,http://www.eiseihoso.org:80/guide/main003-02.html,[ JPRS database provides information on network administration. Its use is    ]
bc9.ne.jp,unknown,,,1,2002,,,http://www.bc9.ne.jp/,http://www.eiseihoso.org:80/guide/main003-02.html,[ JPRS database provides information on network administration. Its use is    ]
btvm.ne.jp,unknown,,,1,2002,,,http://www.btvm.ne.jp/,http://www.eiseihoso.org:80/guide/main003-02.html,[ JPRS database provides information on network administration. Its use is    ]
c-d-k.ne.jp,unknown,,,1,2002,,,http://www.c-d-k.ne.jp/icc/,http://www.eiseihoso.org:80/guide/main003-02.html,[ JPRS database provides information on network administration. Its use is    ]
c-marinet.ne.jp,unknown,,,1,2002,,,http://www.c-marinet.ne.jp,http://www.eiseihoso.org:80/guide/main003-02.html,[ JPRS database provides information on network administration. Its use is    ]
cable-net.ne.jp,unknown,,,1,2002,,,http://www.cable-net.ne.jp,http://www.eiseihoso.org:80/guide/main003-02.html,[ JPRS database provides information on network administration. Its use is    ]
cablenet.co.jp,unknown,,,1,2002,,,http://www.cablenet.co.jp,http://www.eiseihoso.org:80/guide/main003-02.html,[ JPRS database provides information on network administration. Its use is    ]
cat-v.co.jp,unknown,,,1,2002,,,http://www.cat-v.co.jp,http://www.eiseihoso.org:80/guide/main003-02.html,[ JPRS database provides information on network administration. Its use is    ]
