domain,link_count,years_seen,first_seen,last_seen,sample_anchor,sample_source_url,is_alive,genre,memo
tabi-ch.net,3,2002,20020430082315,20020702220426,http://www.tabi-ch.net/,http://www.eiseihoso.org:80/cgi-bin/cs/009hobby/top.cgi?start=10&key=,True,,
animax.co.jp,2,2002,20020315123918,20020617001254,http://www.animax.co.jp,http://www.eiseihoso.org:80/cgi-bin/cs/004anime/top.cgi,True,,
aviva.co.jp,2,2002,20020430082315,20020617001254,http://www.aviva.co.jp,http://www.eiseihoso.org:80/cgi-bin/cs/009hobby/top.cgi?start=10&key=,True,,
bs-asahi.co.jp,2,2002,20020221040753,20020221040753,http://www.bs-asahi.co.jp/,http://www.eiseihoso.org:80/bsdchlu/main.html,True,,
bs-n.co.jp,2,2002,20020221040753,20020221040753,http://www.bs-n.co.jp/,http://www.eiseihoso.org:80/bsdchlu/main.html,True,,
fami-geki.com,2,2002,20020616145116,20020622152213,http://www.fami-geki.com,http://www.eiseihoso.org:80/cgi-bin/cs/007ent/top.cgi,True,,
golfnetwork.co.jp,2,2002,20020616145116,20020622074619,http://www.golfnetwork.co.jp,http://www.eiseihoso.org:80/cgi-bin/cs/005sports/top.cgi,True,,
homedrama-ch.com,2,2002,20020616145116,20020622074232,http://www.homedrama-ch.com/,http://www.eiseihoso.org:80/cgi-bin/cs/003drama/top.cgi,True,,
igoshogi.com,2,2002,20020622075139,20020628033634,http://www.igoshogi.com/,http://www.eiseihoso.org:80/cgi-bin/cs/009hobby/top.cgi,True,,
j-wave.co.jp,2,2002,20020625171212,20020823213245,http://www.j-wave.co.jp,http://www.eiseihoso.org:80/cgi-bin/cs/015radio/top.cgi,True,,
jctv.co.jp,2,2002,20020221041025,20020622074619,http://www.jctv.co.jp/,http://www.eiseihoso.org:80/cgi-bin/cs/005sports/top.cgi,True,,
kmch.net,2,2002,20020616145116,20020622075139,PCRÆ}iu Channel,http://www.eiseihoso.org:80/cgi-bin/cs/009hobby/top.cgi,True,,
kyoto-channel.com,2,2002,20020622075139,20020625171212,http://www.kyoto-channel.com,http://www.eiseihoso.org:80/cgi-bin/cs/009hobby/top.cgi,True,,
lala.co.jp,2,2002,20020616145116,20020623183843,http://www.lala.co.jp/,http://www.eiseihoso.org:80/cgi-bin/cs/007ent/top.cgi?start=10&key=,True,,
m-bros.net,2,2002,20020306005712,20020625171212,http://www.m-bros.net/,http://www.eiseihoso.org:80/cgi-bin/cs/006music/top.cgi,True,,
mjtv123.com,2,2002,20020308030526,20020622075139,http://www.mjtv123.com/,http://www.eiseihoso.org:80/cgi-bin/cs/006music/top.cgi?start=10&key=,True,,
mondo21.net,2,2002,20020623183843,20020702220426,http://www.mondo21.net/,http://www.eiseihoso.org:80/cgi-bin/cs/007ent/top.cgi?start=10&key=,True,,
mtvjapan.com,2,2002,20020306005712,20020625171212,http://www.mtvjapan.com,http://www.eiseihoso.org:80/cgi-bin/cs/006music/top.cgi,True,,
mystery.co.jp,2,2002,20020616145116,20020622074232,http://www.mystery.co.jp,http://www.eiseihoso.org:80/cgi-bin/cs/003drama/top.cgi,True,,
she.tv,2,2002,20020622152213,20020628033634,http://www.She.tv,http://www.eiseihoso.org:80/cgi-bin/cs/007ent/top.cgi,True,,
speedchannel.co.jp,2,2002,20020622075452,20020702220426,http://www.speedchannel.co.jp/,http://www.eiseihoso.org:80/cgi-bin/cs/013games/top.cgi,True,,
super-ch.com,2,2002,20020616145116,20020702220426,http://www.super-ch.com,http://www.eiseihoso.org:80/cgi-bin/member/top.cgi?start=50&key=,True,,
superbird.co.jp,2,2002,20020617001534,20020622074325,http://www.superbird.co.jp/,http://www.eiseihoso.org:80/aboutus/main003-02.html,True,,
theatertv.co.jp,2,2002,20020622152213,20020701062451,http://www.theatertv.co.jp,http://www.eiseihoso.org:80/cgi-bin/cs/007ent/top.cgi,True,,
towntv.co.jp,2,2002,20020302070423,20020302070423,http://www.towntv.co.jp/,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
viewsic.co.jp,2,2002,20020306005712,20020625171212,http://www.viewsic.co.jp,http://www.eiseihoso.org:80/cgi-bin/cs/006music/top.cgi,True,,
vpara.com,2,2002,20020320072300,20020628032753,http://www.vpara.com,http://www.eiseihoso.org:80/cgi-bin/cs/002cinema/top.cgi?start=20&key=,True,,
wowow.co.jp,2,2002,20020221040753,20020221040753,http://www.wowow.co.jp/,http://www.eiseihoso.org:80/bsdchlu/main.html,True,,
1242.com,1,2002,20020221040753,20020221040753,http://www.1242.com/bs/,http://www.eiseihoso.org:80/bsdchlu/main.html,True,,
actv.ne.jp,1,2002,20020302070423,20020302070423,http://www.actv.ne.jp,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
actv135.ne.jp,1,2002,20020302070423,20020302070423,http://www.actv135.ne.jp/,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
aizu.com,1,2002,20020302070423,20020302070423,http://www.aizu.com/org/nishiaizu/,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
alphanet.ne.jp,1,2002,20020617001254,20020617001254,http://www.alphanet.ne.jp,http://www.eiseihoso.org:80/cgi-bin/member/top.cgi,True,,
anc-tv.co.jp,1,2002,20020302070423,20020302070423,http://www.anc-tv.co.jp/,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
auction-tv.com,1,2002,20020816212242,20020816212242,http://www.auction-tv.com,http://www.eiseihoso.org:80/cgi-bin/cs/012shopping/top.cgi,True,,
axn.co.jp,1,2002,20020622074232,20020622074232,http://www.axn.co.jp,http://www.eiseihoso.org:80/cgi-bin/cs/003drama/top.cgi,True,,
bbt757.com,1,2002,20020430082315,20020430082315,http://www.bbt757.com,http://www.eiseihoso.org:80/cgi-bin/cs/009hobby/top.cgi?start=10&key=,True,,
bloomberg.co.jp,1,2002,20020306011456,20020306011456,http://www.bloomberg.co.jp,http://www.eiseihoso.org:80/cgi-bin/cs/008news/top.cgi?start=10&key=,True,,
bloomberg.com,1,2002,20020306011456,20020306011456,http://www.bloomberg.com/asia/,http://www.eiseihoso.org:80/cgi-bin/cs/008news/top.cgi?start=10&key=,True,,
bouquet.co.jp,1,2002,20020302070423,20020302070423,http://www.bouquet.co.jp/ numazu/catv.html,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
bsfuji.tv,1,2002,20020221040753,20020221040753,http://bsfuji.tv/,http://www.eiseihoso.org:80/bsdchlu/main.html,True,,
bsqr.net,1,2002,20020221040753,20020221040753,http://www.bsqr.net/,http://www.eiseihoso.org:80/bsdchlu/main.html,True,,
bunbun.co.jp,1,2002,20020302070423,20020302070423,http://www.bunbun.co.jp,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
c-able.co.jp,1,2002,20020302070423,20020302070423,http://www.c-able.co.jp,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
c-tbs.com,1,2002,20020702220426,20020702220426,http://www.c-tbs.com/,http://www.eiseihoso.org:80/cgi-bin/member/top.cgi?start=50&key=,True,,
cabbage.co.jp,1,2002,20020302070423,20020302070423,http://www.cabbage.co.jp,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
cableone.co.jp,1,2002,20020302070423,20020302070423,http://www.cableone.co.jp/main.html,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
cap.or.jp,1,2002,20020302070423,20020302070423,http://www.cap.or.jp/ fuchu/ctv.html,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
catv-mic.ne.jp,1,2002,20020302070423,20020302070423,http://www.catv-mic.ne.jp/,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
catvwink.co.jp,1,2002,20020302070423,20020302070423,http://www.catvwink.co.jp,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
cavy.co.jp,1,2002,20020302070423,20020302070423,http://www.cavy.co.jp,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
ccn-catv.co.jp,1,2002,20020302070423,20020302070423,http://www.ccn-catv.co.jp/,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
ccsnet.ne.jp,1,2002,20020302070423,20020302070423,http://www.ccsnet.ne.jp/ ccs_index.html,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
ch999.co.jp,1,2002,20020221040753,20020221040753,http://www.ch999.co.jp/,http://www.eiseihoso.org:80/bsdchlu/main.html,True,,
channelv.com,1,2002,20020306005712,20020306005712,http://www.channelv.com,http://www.eiseihoso.org:80/cgi-bin/cs/006music/top.cgi,True,,
chukai.co.jp,1,2002,20020302070423,20020302070423,http://www.chukai.co.jp,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
clovernet.co.jp,1,2002,20020302070423,20020302070423,http://www.clovernet.co.jp,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
cna-catv.co.jp,1,2002,20020302070423,20020302070423,http://www.cna-catv.co.jp,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
cnc.co.jp,1,2002,20020302070423,20020302070423,http://www.cnc.co.jp,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
cno.co.jp,1,2002,20020302070423,20020302070423,http://www.cno.co.jp/,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
cocoronet.com,1,2002,20020628033634,20020628033634,http://www.cocoronet.com,http://www.eiseihoso.org:80/cgi-bin/member/top.cgi?start=30&key=,True,,
cosmo.ne.jp,1,2002,20020302070423,20020302070423,http://www.cosmo.ne.jp/~yamato-v,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
cs110.co.jp,1,2002,20020701062451,20020701062451,http://www.cs110.co.jp/,http://www.eiseihoso.org:80/cgi-bin/member/top.cgi?start=40&key=,True,,
cts-net.ne.jp,1,2002,20020302070423,20020302070423,http://www.cts-net.ne.jp,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
ctt.ne.jp,1,2002,20020302070423,20020302070423,http://www.ctt.ne.jp,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
cva2.com,1,2002,20020302070423,20020302070423,http://www.cva2.com,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
cvk.ne.jp,1,2002,20020302070423,20020302070423,http://www.cvk.ne.jp,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
digicas.com,1,2002,20020221040753,20020221040753,http://www.digicas.com/,http://www.eiseihoso.org:80/bsdchlu/main.html,True,,
dxantenna.co.jp,1,2002,20020622074325,20020622074325,http://www.dxantenna.co.jp/,http://www.eiseihoso.org:80/aboutus/main003-02.html,True,,
ehime-catv.co.jp,1,2002,20020302070423,20020302070423,http://www.ehime-catv.co.jp,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
fishing-v.co.jp,1,2002,20020430082315,20020430082315,http://www.fishing-v.co.jp,http://www.eiseihoso.org:80/cgi-bin/cs/009hobby/top.cgi?start=10&key=,True,,
foxnews.com,1,2002,20020306011456,20020306011456,http://www.foxnews.com,http://www.eiseihoso.org:80/cgi-bin/cs/008news/top.cgi?start=10&key=,True,,
gctv.co.jp,1,2002,20020302070423,20020302070423,http://www.gctv.co.jp/,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
hccweb.bai.ne.jp,1,2002,20020302070423,20020302070423,http://hccweb.bai.ne.jp/,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
hctnet.ne.jp,1,2002,20020302070423,20020302070423,http://www.hctnet.ne.jp,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
hitachi.co.jp,1,2002,20020622074325,20020622074325,http://www.hitachi.co.jp/,http://www.eiseihoso.org:80/aboutus/main003-02.html,True,,
home.htmnet.ne.jp,1,2002,20020302070423,20020302070423,http://home.htmnet.ne.jp,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
i-catv.co.jp,1,2002,20020302070423,20020302070423,http://www.i-catv.co.jp/,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
ican.ne.jp,1,2002,20020302070423,20020302070423,http://www.ican.ne.jp,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
icknet.co.jp,1,2002,20020302070423,20020302070423,http://www.icknet.co.jp,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
icv-net.co.jp,1,2002,20020302070423,20020302070423,http://www.icv-net.co.jp,http://www.eiseihoso.org:80/guide/main003-02.html,True,,
